Популярные страницы,Kлики,Показы,CTR,Позиция
https://docta.me/doctors?specialtyIds=18&cityIds=1,4,61,6.56%,11.62
https://docta.me/doctors?specialtyIds=7&cityIds=3,4,59,6.78%,8.19
https://docta.me/doctors?specialtyIds=13&cityIds=3&lang=sr-cyrl,4,58,6.9%,7.98
https://docta.me/articles/russian-speaking-doctors-in-montenegro?lang=ru,4,57,7.02%,8.44
https://docta.me/doctors?specialtyIds=11,4,57,7.02%,8.79
https://docta.me/doctors?specialtyIds=4&cityIds=1&lang=sr-cyrl,4,56,7.14%,12.05
https://docta.me/clinics/17,4,55,7.27%,8.67
https://docta.me/doctors?specialtyIds=1&cityIds=3,4,54,7.41%,10.44
https://docta.me/doctors?specialtyIds=1&cityIds=1&lang=sr-cyrl,4,53,7.55%,9.58
https://docta.me/doctors?specialtyIds=3&cityIds=2,4,52,7.69%,7.71
https://docta.me/doctors?specialtyIds=13,4,49,8.16%,9.47
https://docta.me/doctors?specialtyIds=22&cityIds=1,4,44,9.09%,16.68
https://docta.me/doctors?clinicIds=4&lang=ru,4,43,9.3%,7.56
https://docta.me/doctors?cityIds=2,4,43,9.3%,12.72
https://docta.me/doctors?specialtyIds=9&cityIds=6,4,41,9.76%,5.15
https://docta.me/doctors?specialtyIds=78&languageIds=2&lang=ru,4,39,10.26%,10.74
https://docta.me/doctors?cityIds=6,4,36,11.11%,10.78
https://docta.me/doctors?specialtyIds=15,4,32,12.5%,10.97
https://docta.me/doctors?specialtyIds=21&cityIds=1&lang=sr-cyrl,4,31,12.9%,8.71
https://docta.me/doctors/763?lang=sr-cyrl,4,25,16%,6.84
https://docta.me/doctors?specialtyIds=12&cityIds=6,4,25,16%,10.88
https://docta.me/doctors?specialtyIds=3&languageIds=1&cityIds=1&lang=sr-cyrl,4,21,19.05%,10
https://docta.me/doctors?specialtyIds=80,4,18,22.22%,8.61
https://docta.me/doctors?specialtyIds=3&cityIds=6,4,18,22.22%,9.11
https://docta.me/doctors?specialtyIds=13&cityIds=2&lang=sr-cyrl,4,18,22.22%,10
https://docta.me/doctors?specialtyIds=52&cityIds=3,4,17,23.53%,8.41
https://docta.me/doctors?specialtyIds=1&cityIds=6&lang=sr-cyrl,4,16,25%,6.94
https://docta.me/doctors/492?lang=de,4,4,100%,1
https://docta.me/clinics/dom-zdravlja-herceg-novi,3,463,0.65%,6.22
https://docta.me/clinics/65,3,290,1.03%,13.22
https://docta.me/clinics/57?lang=ru,3,193,1.55%,8.54
https://docta.me/doctors?clinicIds=5,3,160,1.88%,9.49
https://docta.me/doctors?clinicIds=12,3,130,2.31%,10.45
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=1,3,119,2.52%,12.4
https://docta.me/doctors?specialtyIds=17&cityIds=1,3,109,2.75%,8.17
https://docta.me/clinics/80?lang=ru,3,101,2.97%,7.97
https://docta.me/clinics/3?lang=en,3,100,3%,11.36
https://docta.me/clinics/15,3,98,3.06%,9.81
https://docta.me/doctors?specialtyIds=11&cityIds=1,3,93,3.23%,8.42
https://docta.me/doctors?specialtyIds=7,3,84,3.57%,20.58
https://docta.me/doctors?specialtyIds=13&languageIds=2&cityIds=1,3,78,3.85%,7.31
https://docta.me/doctors?specialtyIds=46&languageIds=1&cityIds=1&lang=en,3,76,3.95%,9.75
https://docta.me/doctors?specialtyIds=1&cityIds=1,3,75,4%,15.25
https://docta.me/doctors?specialtyIds=8&languageIds=1&cityIds=1,3,66,4.55%,12.09
https://docta.me/doctors?specialtyIds=11&languageIds=1&cityIds=1&lang=sr-cyrl,3,65,4.62%,18.62
https://docta.me/doctors?specialtyIds=4&languageIds=1&cityIds=1,3,62,4.84%,13.73
https://docta.me/doctors?specialtyIds=13&languageIds=3&cityIds=1,3,61,4.92%,8.61
https://docta.me/doctors?specialtyIds=21&languageIds=1&cityIds=1,3,60,5%,8.43
https://docta.me/doctors?specialtyIds=46&cityIds=1,3,60,5%,11.8
https://docta.me/clinics/20?lang=ru,3,58,5.17%,1.98
https://docta.me/doctors?specialtyIds=5&cityIds=1&lang=sr-cyrl,3,57,5.26%,16
https://docta.me/doctors/600,3,53,5.66%,7.75
https://docta.me/doctors?specialtyIds=9&cityIds=1&lang=sr-cyrl,3,50,6%,10.62
https://docta.me/doctors?languageIds=1&cityIds=2,3,48,6.25%,10.25
https://docta.me/doctors?specialtyIds=28&cityIds=1,3,47,6.38%,8.26
https://docta.me/doctors?specialtyIds=2&cityIds=3,3,46,6.52%,9.15
https://docta.me/doctors?specialtyIds=7&cityIds=2,3,44,6.82%,7.34
https://docta.me/doctors?specialtyIds=11&cityIds=7&lang=sr-cyrl,3,43,6.98%,6.56
https://docta.me/doctors?specialtyIds=19&cityIds=1&lang=sr-cyrl,3,39,7.69%,8.56
https://docta.me/doctors?clinicIds=17,3,38,7.89%,13.92
https://docta.me/doctors?specialtyIds=9&cityIds=3,3,37,8.11%,11.65
https://docta.me/doctors?specialtyIds=34,3,36,8.33%,11.83
https://docta.me/doctors?specialtyIds=87,3,36,8.33%,12.92
https://docta.me/doctors?specialtyIds=11&languageIds=1&cityIds=1,3,35,8.57%,10.11
https://docta.me/doctors?specialtyIds=79&cityIds=1,3,35,8.57%,10.14
https://docta.me/doctors?specialtyIds=11&lang=en,3,35,8.57%,12.43
https://docta.me/doctors?specialtyIds=6&languageIds=2&cityIds=1,3,33,9.09%,8.79
https://docta.me/doctors?specialtyIds=16&languageIds=1&cityIds=1&lang=sr-cyrl,3,33,9.09%,12.48
https://docta.me/doctors?clinicIds=62,3,32,9.38%,8.31
https://docta.me/services?clinicIds=64,3,32,9.38%,9.38
https://docta.me/doctors?specialtyIds=21&lang=sr-cyrl,3,31,9.68%,13.03
https://docta.me/doctors?specialtyIds=12&languageIds=1&cityIds=1&lang=sr-cyrl,3,31,9.68%,13.1
https://docta.me/doctors?specialtyIds=21&cityIds=2&lang=sr-cyrl,3,29,10.34%,9.72
https://docta.me/doctors?clinicIds=64,3,28,10.71%,10.89
https://docta.me/clinics/3?lang=ru,3,27,11.11%,8.7
https://docta.me/doctors?specialtyIds=9&cityIds=6&lang=sr-cyrl,3,26,11.54%,9.46
https://docta.me/doctors?specialtyIds=21&languageIds=1&cityIds=3,3,26,11.54%,29.35
https://docta.me/doctors?specialtyIds=3&cityIds=3,3,24,12.5%,8.17
https://docta.me/doctors?specialtyIds=71,3,24,12.5%,9.92
https://docta.me/doctors?specialtyIds=13&cityIds=7&lang=sr-cyrl,3,23,13.04%,6.39
https://docta.me/doctors?specialtyIds=13&cityIds=4&lang=sr-cyrl,3,23,13.04%,8.39
https://docta.me/doctors?specialtyIds=16&lang=sr-cyrl,3,23,13.04%,12.78
https://docta.me/doctors?specialtyIds=52&languageIds=1&cityIds=3,3,22,13.64%,13.32
https://docta.me/doctors?specialtyIds=17&cityIds=3,3,20,15%,6.05
https://docta.me/doctors?specialtyIds=9&cityIds=7,3,20,15%,7.1
https://docta.me/doctors?specialtyIds=10&cityIds=4,3,20,15%,8.95
https://docta.me/doctors?specialtyIds=48&cityIds=1,3,20,15%,9.4
https://docta.me/doctors?specialtyIds=12&cityIds=8,3,19,15.79%,5.89
https://docta.me/doctors?specialtyIds=69,3,19,15.79%,6.21
https://docta.me/doctors?clinicIds=54&lang=tr,3,19,15.79%,10.63
https://docta.me/doctors?specialtyIds=74,3,19,15.79%,12.26
https://docta.me/doctors?specialtyIds=9&languageIds=1&cityIds=3,3,18,16.67%,6.5
https://docta.me/doctors?cityIds=4&lang=en,3,18,16.67%,8.44
https://docta.me/doctors?specialtyIds=20&cityIds=2,3,18,16.67%,10.67
https://docta.me/doctors/674?lang=sr-cyrl,3,15,20%,6.47
https://docta.me/doctors?specialtyIds=4&cityIds=6,3,15,20%,7.87
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=7&lang=sr-cyrl,3,12,25%,7.75
https://docta.me/doctors?specialtyIds=17&languageIds=1&cityIds=2&lang=sr-cyrl,3,11,27.27%,10.45
https://docta.me/doctors?specialtyIds=85,3,11,27.27%,11.82
https://docta.me/doctors/923,3,10,30%,11
https://docta.me/doctors/483,3,9,33.33%,4.33
https://docta.me/doctors?specialtyIds=42&cityIds=4&lang=sr-cyrl,3,5,60%,6.6
https://docta.me/clinics/2,2,1196,0.17%,10.6
https://docta.me/clinics/9,2,151,1.32%,9.81
https://docta.me/clinics/49?lang=ru,2,137,1.46%,9.37
https://docta.me/doctors?clinicIds=28,2,107,1.87%,11.76
https://docta.me/clinics/69?lang=tr,2,106,1.89%,8.98
https://docta.me/doctors?specialtyIds=1,2,106,1.89%,12.9
https://docta.me/doctors?clinicIds=27,2,102,1.96%,8.85
https://docta.me/clinics/5,2,97,2.06%,13.59
https://docta.me/doctors?clinicIds=27&lang=sr-cyrl,2,91,2.2%,8.47
https://docta.me/doctors?specialtyIds=75&languageIds=1&cityIds=1,2,91,2.2%,9.54
https://docta.me/doctors?specialtyIds=13&cityIds=1&lang=sr-cyrl,2,89,2.25%,11.07
https://docta.me/doctors?specialtyIds=11&cityIds=1&lang=sr-cyrl,2,82,2.44%,11.23
https://docta.me/doctors?specialtyIds=3&languageIds=1&cityIds=1,2,79,2.53%,10.15
https://docta.me/clinics/71?lang=sr-cyrl,2,74,2.7%,8.61
https://docta.me/clinics/12?lang=sr-cyrl,2,72,2.78%,9.64
https://docta.me/doctors?specialtyIds=7&languageIds=1&cityIds=1,2,70,2.86%,14.33
https://docta.me/doctors?specialtyIds=10&cityIds=1,2,69,2.9%,9.88
https://docta.me/doctors?specialtyIds=78&cityIds=1,2,69,2.9%,18.22
https://docta.me/doctors?specialtyIds=10&languageIds=1&cityIds=1,2,68,2.94%,10.19
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=1,2,67,2.99%,9.46
https://docta.me/doctors?clinicIds=26,2,64,3.12%,9.31
https://docta.me/doctors?clinicIds=10&lang=sr-cyrl,2,64,3.12%,9.8
https://docta.me/doctors?specialtyIds=5&cityIds=3,2,61,3.28%,8.33
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=1&lang=sr-cyrl,2,59,3.39%,9.69
https://docta.me/doctors?clinicIds=28&lang=sr-cyrl,2,58,3.45%,11.16
https://docta.me/doctors?specialtyIds=45&cityIds=1,2,57,3.51%,9.68
https://docta.me/doctors?specialtyIds=24&cityIds=1,2,55,3.64%,8.36
https://docta.me/doctors?specialtyIds=31&cityIds=1,2,55,3.64%,9
https://docta.me/clinics/4?lang=ru,2,54,3.7%,9.35
https://docta.me/doctors?specialtyIds=22,2,51,3.92%,21.29
https://docta.me/doctors?specialtyIds=81&cityIds=1,2,49,4.08%,8.94
https://docta.me/doctors?specialtyIds=9&cityIds=1&lang=en,2,45,4.44%,9.98
https://docta.me/clinics/82?lang=en,2,45,4.44%,10.22
https://docta.me/doctors/458?lang=sr-cyrl,2,43,4.65%,7.86
https://docta.me/doctors?specialtyIds=5&cityIds=6,2,42,4.76%,9.88
https://docta.me/doctors?cityIds=8,2,42,4.76%,11.36
https://docta.me/doctors?specialtyIds=13&languageIds=1,2,41,4.88%,7.98
https://docta.me/doctors?specialtyIds=8,2,41,4.88%,9.56
https://docta.me/doctors?clinicIds=17&lang=ru,2,40,5%,8.03
https://docta.me/doctors?specialtyIds=44,2,40,5%,9.78
https://docta.me/doctors?specialtyIds=5&languageIds=1,2,40,5%,12.22
https://docta.me/doctors?specialtyIds=14&cityIds=1&lang=sr-cyrl,2,40,5%,13.35
https://docta.me/doctors?clinicIds=37&lang=sr-cyrl,2,38,5.26%,6.03
https://docta.me/doctors?specialtyIds=30&languageIds=1&cityIds=1,2,38,5.26%,9.42
https://docta.me/doctors?cityIds=5,2,37,5.41%,7.81
https://docta.me/doctors?specialtyIds=7&lang=sr-cyrl,2,37,5.41%,8.54
https://docta.me/doctors?clinicIds=9&lang=sr-cyrl,2,37,5.41%,9.08
https://docta.me/doctors?specialtyIds=3&cityIds=3&lang=sr-cyrl,2,35,5.71%,7.43
https://docta.me/doctors/768?lang=sr-cyrl,2,35,5.71%,8
https://docta.me/doctors?specialtyIds=18&languageIds=1&cityIds=1,2,34,5.88%,7.71
https://docta.me/doctors?specialtyIds=32&cityIds=1,2,34,5.88%,8.53
https://docta.me/doctors?specialtyIds=16&cityIds=2,2,34,5.88%,14.35
https://docta.me/doctors?specialtyIds=52&cityIds=1,2,33,6.06%,9.52
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=2,2,32,6.25%,8.09
https://docta.me/doctors?specialtyIds=5&cityIds=2,2,32,6.25%,11.03
https://docta.me/doctors?specialtyIds=10&languageIds=1&cityIds=2,2,32,6.25%,11.09
https://docta.me/doctors?specialtyIds=14,2,32,6.25%,13.19
https://docta.me/doctors/601,2,31,6.45%,4.45
https://docta.me/doctors?specialtyIds=75&cityIds=1&lang=sr-cyrl,2,31,6.45%,7.87
https://docta.me/doctors?specialtyIds=27,2,31,6.45%,8.58
https://docta.me/doctors?specialtyIds=2&cityIds=6,2,31,6.45%,9.1
https://docta.me/doctors?specialtyIds=12&cityIds=7,2,31,6.45%,15.42
https://docta.me/doctors?specialtyIds=16&languageIds=1&lang=sr-cyrl,2,30,6.67%,7.37
https://docta.me/doctors?specialtyIds=6&cityIds=2,2,30,6.67%,7.97
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=6,2,30,6.67%,9.23
https://docta.me/doctors?specialtyIds=47,2,30,6.67%,11.47
https://docta.me/doctors?specialtyIds=1&cityIds=2,2,30,6.67%,12.47
https://docta.me/doctors?clinicIds=43&lang=ru,2,29,6.9%,7.17
https://docta.me/doctors?specialtyIds=9&cityIds=2,2,29,6.9%,10.79
https://docta.me/doctors?specialtyIds=1&lang=sr-cyrl,2,28,7.14%,13.93
https://docta.me/clinics/65?lang=sr-cyrl,2,28,7.14%,26.21
https://docta.me/doctors?specialtyIds=51&languageIds=3&lang=en,2,27,7.41%,8
https://docta.me/doctors?specialtyIds=13&cityIds=3&lang=en,2,27,7.41%,8.07
https://docta.me/doctors?specialtyIds=34&cityIds=1,2,27,7.41%,10.11
https://docta.me/doctors?specialtyIds=15&cityIds=1&lang=sr-cyrl,2,27,7.41%,11.81
https://docta.me/doctors?specialtyIds=7&cityIds=4,2,26,7.69%,8.04
https://docta.me/doctors?specialtyIds=17&lang=en,2,26,7.69%,9.62
https://docta.me/doctors?specialtyIds=13&languageIds=3&cityIds=1&lang=sr-cyrl,2,25,8%,7.8
https://docta.me/doctors?specialtyIds=38&lang=sr-cyrl,2,25,8%,7.96
https://docta.me/doctors?specialtyIds=11&cityIds=3&lang=sr-cyrl,2,25,8%,8.2
https://docta.me/doctors?specialtyIds=19&languageIds=1,2,25,8%,9.48
https://docta.me/doctors?specialtyIds=18&lang=ru,2,24,8.33%,6.54
https://docta.me/doctors?specialtyIds=44&lang=en,2,24,8.33%,7.75
https://docta.me/doctors/359,2,24,8.33%,7.79
https://docta.me/doctors?clinicIds=27&lang=en,2,24,8.33%,8.54
https://docta.me/doctors/768?lang=en,2,24,8.33%,10.12
https://docta.me/doctors?specialtyIds=2&languageIds=3&cityIds=1,2,24,8.33%,12.88
https://docta.me/doctors?specialtyIds=1&cityIds=4,2,23,8.7%,8.22
https://docta.me/doctors?specialtyIds=71&languageIds=1&cityIds=1,2,23,8.7%,8.78
https://docta.me/doctors?specialtyIds=13&cityIds=2,2,23,8.7%,19.13
https://docta.me/doctors?specialtyIds=1&cityIds=1&lang=en,2,22,9.09%,9.14
https://docta.me/doctors?specialtyIds=21&languageIds=1,2,22,9.09%,11.64
https://docta.me/doctors?specialtyIds=44&languageIds=1&cityIds=1,2,21,9.52%,10.81
https://docta.me/doctors?specialtyIds=50,2,21,9.52%,11.81
https://docta.me/doctors?specialtyIds=9&languageIds=1,2,21,9.52%,17.52
https://docta.me/doctors?specialtyIds=45&lang=ru,2,21,9.52%,18.67
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=2,2,20,10%,9.25
https://docta.me/doctors?specialtyIds=11&cityIds=2,2,20,10%,10.35
https://docta.me/doctors?specialtyIds=9&languageIds=1&cityIds=7,2,20,10%,10.6
https://docta.me/doctors?specialtyIds=74&languageIds=2&lang=ru,2,20,10%,15.65
https://docta.me/doctors?specialtyIds=21&cityIds=2,2,19,10.53%,8.21
https://docta.me/doctors?specialtyIds=5&languageIds=2&cityIds=1&lang=sr-cyrl,2,19,10.53%,10.21
https://docta.me/doctors?specialtyIds=18&cityIds=1&lang=sr-cyrl,2,19,10.53%,11.58
https://docta.me/doctors?clinicIds=17&lang=sr-cyrl,2,18,11.11%,7.5
https://docta.me/doctors?languageIds=2&cityIds=3&lang=en,2,18,11.11%,7.5
https://docta.me/doctors?specialtyIds=9&languageIds=1&cityIds=7&lang=sr-cyrl,2,18,11.11%,7.56
https://docta.me/doctors/749?lang=sr-cyrl,2,18,11.11%,8.72
https://docta.me/doctors?specialtyIds=84&cityIds=1,2,18,11.11%,9.5
https://docta.me/doctors?specialtyIds=22&languageIds=1&cityIds=2,2,18,11.11%,11.89
https://docta.me/doctors?specialtyIds=34&languageIds=1,2,17,11.76%,8.53
https://docta.me/doctors?specialtyIds=38&languageIds=1&cityIds=1,2,17,11.76%,10.35
https://docta.me/doctors?specialtyIds=8&cityIds=6&lang=sr-cyrl,2,17,11.76%,12.59
https://docta.me/clinics/90?lang=ru,2,15,13.33%,6.2
https://docta.me/doctors?specialtyIds=11&cityIds=8&lang=sr-cyrl,2,15,13.33%,6.93
https://docta.me/doctors?specialtyIds=42,2,15,13.33%,12.8
https://docta.me/doctors?specialtyIds=78&cityIds=4&lang=sr-cyrl,2,15,13.33%,17.93
https://docta.me/doctors?specialtyIds=68&cityIds=1,2,14,14.29%,5.64
https://docta.me/doctors/598,2,14,14.29%,6.07
https://docta.me/doctors?specialtyIds=14&cityIds=2,2,14,14.29%,8.07
https://docta.me/doctors?specialtyIds=4&cityIds=2,2,14,14.29%,8.29
https://docta.me/doctors?clinicIds=36,2,14,14.29%,8.93
https://docta.me/doctors/252,2,14,14.29%,10.64
https://docta.me/doctors?specialtyIds=50&lang=sr-cyrl,2,14,14.29%,14
https://docta.me/doctors?specialtyIds=9&cityIds=6&lang=en,2,14,14.29%,15.36
https://docta.me/doctors?specialtyIds=4&cityIds=7&lang=sr-cyrl,2,14,14.29%,17.79
https://docta.me/doctors?specialtyIds=15&languageIds=1,2,14,14.29%,19
https://docta.me/doctors?specialtyIds=11&cityIds=3,2,13,15.38%,5.62
https://docta.me/doctors/745?lang=sr-cyrl,2,13,15.38%,6.23
https://docta.me/doctors?specialtyIds=13&cityIds=4,2,13,15.38%,15.31
https://docta.me/doctors?specialtyIds=35&cityIds=1,2,13,15.38%,18.15
https://docta.me/doctors/298,2,12,16.67%,7.5
https://docta.me/doctors?specialtyIds=9&cityIds=3&lang=sr-cyrl,2,12,16.67%,9.83
https://docta.me/doctors?specialtyIds=68&languageIds=1&cityIds=1,2,12,16.67%,15
https://docta.me/services/2198,2,12,16.67%,23.92
https://docta.me/doctors?specialtyIds=82&languageIds=1&cityIds=1&lang=en,2,11,18.18%,5.91
https://docta.me/doctors/333,2,11,18.18%,6.18
https://docta.me/doctors?specialtyIds=77&languageIds=1&cityIds=3&lang=ru,2,11,18.18%,7.18
https://docta.me/doctors?specialtyIds=46&languageIds=1&cityIds=1&lang=sr-cyrl,2,11,18.18%,8.18
https://docta.me/doctors?specialtyIds=8&languageIds=1&cityIds=3,2,11,18.18%,9.55
https://docta.me/doctors?specialtyIds=44&lang=sr-cyrl,2,11,18.18%,32.55
https://docta.me/labtests/174?lang=en,2,10,20%,4.4
https://docta.me/services/4173?lang=en,2,10,20%,9.4
https://docta.me/doctors?specialtyIds=28&cityIds=1&lang=en,2,10,20%,9.8
https://docta.me/doctors?specialtyIds=10&cityIds=6&lang=en,2,10,20%,10.8
https://docta.me/doctors?specialtyIds=68,2,10,20%,14.2
https://docta.me/doctors?specialtyIds=17&languageIds=1&cityIds=7&lang=ru,2,9,22.22%,1.67
https://docta.me/doctors?specialtyIds=9&languageIds=2&lang=ru,2,9,22.22%,4.78
https://docta.me/doctors/837?lang=sr-cyrl,2,9,22.22%,5.11
https://docta.me/doctors/433,2,9,22.22%,5.44
https://docta.me/doctors?specialtyIds=85&lang=en,2,9,22.22%,7
https://docta.me/doctors?specialtyIds=16&cityIds=4,2,9,22.22%,8
https://docta.me/doctors?specialtyIds=19&cityIds=1&lang=ru,2,9,22.22%,10.33
https://docta.me/doctors/636?lang=en,2,9,22.22%,16
https://docta.me/doctors/803,2,9,22.22%,22.33
https://docta.me/doctors/545?lang=en,2,8,25%,3.25
https://docta.me/doctors/789?lang=en,2,8,25%,7.25
https://docta.me/clinics/bonomedica-budva?lang=ru,2,8,25%,11.88
https://docta.me/doctors?specialtyIds=41&cityIds=3,2,7,28.57%,4.43
https://docta.me/doctors?specialtyIds=52&cityIds=3&lang=sr-cyrl,2,7,28.57%,4.86
https://docta.me/doctors?specialtyIds=8&languageIds=2&cityIds=1&lang=ru,2,7,28.57%,5.43
https://docta.me/doctors?specialtyIds=52&cityIds=1&lang=sr-cyrl,2,7,28.57%,6.14
https://docta.me/doctors?specialtyIds=73&languageIds=1&cityIds=1,2,7,28.57%,8
https://docta.me/doctors?specialtyIds=51&languageIds=2&lang=en,2,7,28.57%,8.57
https://docta.me/doctors?specialtyIds=22&cityIds=7&lang=sr-cyrl,2,7,28.57%,14.57
https://docta.me/doctors?specialtyIds=14&cityIds=7&lang=sr-cyrl,2,6,33.33%,4.83
https://docta.me/doctors/763,2,6,33.33%,6.33
https://docta.me/doctors?specialtyIds=16&cityIds=3&lang=sr-cyrl,2,6,33.33%,8.83
https://docta.me/doctors?specialtyIds=3&lang=tr,2,6,33.33%,10.67
https://docta.me/doctors/448,2,5,40%,1.6
https://docta.me/doctors/841,2,5,40%,3.6
https://docta.me/doctors/790?lang=en,2,5,40%,5
https://docta.me/clinics/42?lang=sr-cyrl,2,5,40%,5.8
https://docta.me/doctors?specialtyIds=25&languageIds=1&lang=sr-cyrl,2,5,40%,6.4
https://docta.me/doctors/534,2,5,40%,7
https://docta.me/doctors?specialtyIds=77&languageIds=1&cityIds=1,2,5,40%,17.2
https://docta.me/doctors/627?lang=sr-cyrl,2,4,50%,2.25
https://docta.me/doctors/712?lang=ru,2,4,50%,6
https://docta.me/doctors/889?lang=sr-cyrl,2,4,50%,6.25
https://docta.me/doctors/890?lang=de,2,4,50%,6.25
https://docta.me/doctors/709?lang=en,2,4,50%,8
https://docta.me/doctors?specialtyIds=82,2,4,50%,8
https://docta.me/doctors?specialtyIds=21&cityIds=7&lang=sr-cyrl,2,4,50%,8.25
https://docta.me/labtests/1186,2,4,50%,20.75
https://docta.me/doctors/50,2,3,66.67%,6.67
https://docta.me/doctors?specialtyIds=13&cityIds=2&lang=en,2,3,66.67%,6.67
https://docta.me/medications/1595?lang=sr-cyrl,2,2,100%,1
https://docta.me/doctors?specialtyIds=18&languageIds=2&cityIds=1&lang=ru,2,2,100%,2
https://docta.me/doctors/678?lang=en,2,2,100%,3.5
https://docta.me/doctors?specialtyIds=73&lang=tr,2,2,100%,5
https://docta.me/doctors/213,2,2,100%,6.5
https://docta.me/doctors/dubravka-lopicic?lang=ru,2,2,100%,19
