"Keyword","Impressions","Clicks","CTR","Avg. Position"
"39 lamela 8 podgorica","2","0","0%","5"
"surgery eye montenegro","2","1","50%","1"
"hyalubrix podgorica","2","1","50%","1.5"
"jelena popovic toledo doctor","2","1","50%","3"
"milmedika laboratorija","2","0","0%","4.5"
"poliklinika filipovic recenzije","2","1","50%","4"
"vestibularna ploca","2","0","0%","2"
"nikola barovic","2","0","0%","4"
"dr. pupovic sabahudin orl podgorica","2","1","50%","1.5"
"opsta bolnica bijelo polje","2","0","0%","4"
"dr sukovic milija","2","1","50%","4.5"
"a3 medical specialties","2","0","0%","3.5"
"milmediku nikšić","2","0","0%","2"
"moj lab  pedijatrija","2","0","0%","3.5"
"rz kerber farm","2","0","0%","3.5"
"eliquis 2 5 mg na recept","2","0","0%","3"
"radno vrijeme mil medika niksic","2","0","0%","3"
"toma nišavić","2","1","50%","1.5"
"ana bulatovic reumatolog","2","1","50%","2"
"tomanovic hirurg","2","0","0%","4"
"dokter montenegro","2","0","0%","4"
"doktorica barac otasevic","2","1","50%","2.5"
"dr marko borovinić","2","1","50%","5"
"medazol 400","2","0","0%","2"
"nuklearna medicina podgorica klinicki centar","2","0","0%","2"
"novi standard poliklinika bar","2","0","0%","2"
"broj dozvole dr. vlado popovic","2","1","50%","2"
"djordje perovic urolog","2","2","100%","5"
"doktorka milica marovic","2","1","50%","2"
"dr raonic oftamolog","2","0","0%","9.5"
"sona duo gel 30g","2","0","0%","9"
"konyilijum ordinacija dopler krvih sudova","2","1","50%","1.5"
"dr ivona jelušić","2","0","0%","4.5"
"altabella cosmetica","2","0","0%","7.5"
"ersan basovic","2","1","50%","7.5"
"ortoped lakovic olwg","2","0","0%","1"
"botoks jagodica  niksic","2","3","150%","3.5"
"mirjana rasljic","2","0","0%","4"
"ko je dr bulatović u kliničkom centu crne gora, ortoped","2","1","50%","5"
"operacija dijafragme","2","2","100%","4"
"novi standard klinika","2","0","0%","9"
"bolnica cetinje pedijatrije marina","2","0","0%","2"
"bona lab prima","2","0","0%","6"
"uz abdomena participacija crna gora","2","0","0%","1.5"
"zorica barac psihijatar","2","2","100%","2"
"milmedika tivat ljekarski pregled","2","0","0%","4"
"dejan kojic dr","2","0","0%","6.5"
"budva zindovic","2","1","50%","2.5"
"luka borovinic","2","1","50%","3"
"a3 medical cenovnik","2","0","0%","5.5"
"nostalgia.docta.dew","2","0","0%","2"
"bozovic rada ginekolog","2","0","0%","2"
"ljekari u hipokrat niksic","2","1","50%","2"
"mp doa test podgorica","2","0","0%","5"
"cetinje transfuzija","2","1","50%","1.5"
"urologija nikšić","2","1","50%","5.5"
"žanka đurišić","2","2","100%","3"
"plasiranje hikmanovog katetra za dijalizu cena","2","1","50%","6"
"dr ana popović dermatovenerolog","2","1","50%","1"
"dr tanja nikolic sutomore","2","1","50%","1.5"
"vlatko raicevic ginekolog","2","0","0%","4"
"dr madžgalj","2","0","0%","1.5"
"milmedicka cijena","2","0","0%","4"
"alerix","2","0","0%","9"
"nikola bulatović dr ortopeda","2","0","0%","2"
"dr milan vladimirov radiolog","2","0","0%","2"
"dr amber halilović podgorica pulmolog","2","2","100%","5.5"
"dr azra begovic","2","1","50%","2.5"
"maksimović, ružica m.   md","2","0","0%","5"
"bulevar dinastije petrovica 8, bar","2","1","50%","2"
"milmedika cjenovnik niksic","2","0","0%","3"
"dr drasko vukovic","2","2","100%","1.5"
"saška grupković","2","1","50%","3.5"
"dr vlado popovic podgorica","2","1","50%","1.5"
"ana music ginkeolog","2","1","50%","1.5"
"dr branko čampar","2","1","50%","2"
"in viro podgorica","2","0","0%","8.5"
"optivag","2","0","0%","7"
"urolog ivan vukovic podgorica","2","1","50%","3"
"rz kerber company","2","0","0%","6"
"doctor enzo citarella en rio de janeiro","2","1","50%","11.5"
"semi-docta","2","0","0%","9"
"poliklinika masonicic","2","0","0%","2.5"
"branko lutovac nefrolog u podgorici","2","0","0%","4"
"ecg contracors in montenegrop","2","0","0%","6.5"
"dr.baris erturk budva","2","0","0%","4.5"
"plasticna hirurgija doktor bandic","2","0","0%","8"
"aesthetic medical clinic tivat","2","1","50%","6"
"olga tivat, volim te","2","0","0%","5.5"
"mladen radonjic doktor podgorica","2","1","50%","5"
"sinisa ducic deciji ortoped pregled","2","0","0%","7"
"trofi?ki i hormonski agensi 32 544 ursodeoksiholna kiselina 32 545 probiotici 33 6 komplikacije 34 61 komplikacije parenteralne nutricije 34 611 infekcije krvotoka povezane sa kateterom crbsi 34 612 tromboza centralnih vena 35 62","2","0","0%","5.5"
"milica vušurović ginewkolog","2","0","0%","5.5"
"dom zdrravlja bar","2","0","0%","2.5"
"amedic recenzije","2","1","50%","1"
"a 3 nedika sutomore","2","0","0%","1"
"dr zeljko zacevic dental budva","2","1","50%","1"
"dental studio gaćina (bar)","2","1","50%","1"
"psihijatar dr milonjic klinicki centar podgorica","2","2","100%","2"
"emilija delevic ginekolog","2","1","50%","1"
"ginekolog herceg novi ob meljine","2","1","50%","2"
"dr vlado popovic risan","2","0","0%","2.5"
"privatna zdravstvena ustanova primus medical","2","0","0%","9"
"lidija ljubisa budva","2","0","0%","10"
"zindovic_dunja clinical center of montenegro","2","0","0%","4"
"dr zindovic budva kontakt","2","1","50%","2"
"biorevitalizacija podgorica","2","1","50%","1.5"
"dr ivana micevic","2","1","50%","1.5"
"pedijatrija mojlab","2","0","0%","8.5"
"olire 6mg","2","0","0%","7"
"dr marija petričević iskustva","2","1","50%","1"
"trazem 5 mg","2","0","0%","8"
"bolest lamela","2","0","0%","5.5"
"dr maida psihijatar podgorica","2","1","50%","1"
"tatjana motrenko simic human reproduction center budva","2","0","0%","6.5"
"urolog vukovic podgorica","2","1","50%","3"
"suzana uskokovic gdje radi u podgorici","2","1","50%","1.5"
"centrala bolnice podgorica kontakt neurohirurgija kontakt","2","0","0%","6"
"a3 medical hospital sutomore haj nehaj bb is in which hospital","2","0","0%","6"
"kardiolog popivoda kbc","2","2","100%","1.5"
"aligrudic ortoped","2","0","0%","10"
"rtg hemitoraksa","2","0","0%","6"
"vesna lakusic mitic","2","1","50%","3"
"revisio cavi uteri instrumentalis","2","0","0%","6.5"
"milmedika nk","2","0","0%","5.5"
"slavisa perunicic klinika","2","1","50%","2"
"vigamox cjena u crna gore","2","1","50%","1"
"doctor vlado popovic","2","0","0%","1.5"
"zejnilovic bar","2","0","0%","3.5"
"konzilijum pg cijena mr male karlice","2","0","0%","9"
"protia allergy q64s","2","0","0%","10"
"dr nikola bulatovic","2","1","50%","5"
"nikola bulatovic ortopedija","2","0","0%","5"
"dr marjana djordjevic","2","1","50%","2"
"magdelinic urolog","2","0","0%","1"
"tea dakic konzilijum","2","0","0%","10"
"veselinovic herceg novi","2","0","0%","2"
"dr milivoje šišević podgorica","2","0","0%","7"
"capilaroscopy","2","0","0%","4"
"dr  predrag dabović","2","1","50%","5.5"
"doktor zivka eri","2","1","50%","10"
"dr džihad pepić","2","1","50%","1"
"milmedika porto montenegro recenzije","2","1","50%","4"
"specijalna bolnica za psihijatriju kotor","2","0","0%","6"
"a3 sutomore ärzte","2","0","0%","1.5"
"juskovic aleksandar","2","1","50%","5"
"bactrim galenika","2","0","0%","5"
"antrektomija","2","0","0%","9"
"dr enisa pupovic","2","1","50%","5"
"refidoro","2","0","0%","7"
"a3 klinika, sutumore","2","0","0%","7"
"upravljanje sa čamcem pregled","2","0","0%","5.5"
"dr milan popivoda kotor","2","1","50%","1.5"
"ljiljana radulovic neourolog","2","1","50%","1"
"smart med dr olivera miketic endokrinolog","2","0","0%","7"
"dr miljan zindovic budva","2","0","0%","1.5"
"rtg himitoraks","2","0","0%","4.5"
"vladan vuceljic doktor","2","1","50%","2"
"doktorka kastratović","2","0","0%","2"
"onkologija direktor vladimir","2","1","50%","1"
"prof čampar pedijatar","2","0","0%","8"
"memalis","2","0","0%","8"
"estetska klinika podgorica","2","0","0%","4"
"dr djurovic urolog podgorica","2","1","50%","1.5"
"gastro inteorolog damir muhovic","2","0","0%","4.5"
"ljekari u klinici a3 sutomore","2","1","50%","1"
"milmedika nikšić kardiolozimedicinski džem recept","2","0","0%","2"
"očni doktor niksic","2","0","0%","5"
"dr zindovic budva","2","1","50%","1.5"
"milmedika siti kvart","2","0","0%","6"
"dr marjana djordjevic radiolog","2","1","50%","3.5"
"specijalna bolnica vaso cukovic risan radno vrijeme ortopedije 1 sprat ambulante","2","1","50%","4"
"dom zdravlja tivat","2","0","0%","4.5"
"dr željka ašanin","2","1","50%","5.5"
"nubeqa 300 mg na recept","1","0","0%","9"
"milmedka podgorica","1","0","0%","2"
"zec aleksandar budva","1","0","0%","7"
"dooktor radinovic medicus podgorica","1","1","100%","2"
"zindovic hirurg kbc","1","0","0%","2"
"danko zivkovic","1","1","100%","1"
"neurohirurg dr radunovic arsenije privatno","1","1","100%","1"
"a3 medical center montenegro","1","0","0%","6"
"dr snezana pavicevic podgorica","1","1","100%","2"
"umelics","1","0","0%","3"
"gabapreg 50mg","1","0","0%","8"
"klinika za infektologiju podgorica danijela stojanović","1","1","100%","2"
"dr snežana vukadinovic dermatolog ordinira","1","1","100%","2"
"dr nelica radovic","1","1","100%","2"
"dr djukic podgorica","1","1","100%","2"
"aligrudic ortopedija","1","0","0%","10"
"nativni ct urotrakta","1","0","0%","7"
"ispravka iskrivljene nosne pregrade – cijena u crnoj gori","1","1","100%","1"
"prof. dr snežana vujošević","1","1","100%","1"
"popović marjan","1","0","0%","4"
"viktorija jevdokimova","1","0","0%","7"
"aleksandra bozovic celebic grudi","1","1","100%","2"
"oleg lakovic","1","1","100%","2"
"dr.vladimir janjic","1","1","100%","4"
"dr dejan kojic","1","0","0%","8"
"rapten forte inhaltsstoffe","1","0","0%","4"
"pedijatrijska ordinacija doktorica mica","1","0","0%","6"
"petrović, p., mašulović, d. i saradnici. radiologija.","1","0","0%","6"
"tasic kardiolog","1","0","0%","2"
"hematolog mirjana gotić","1","0","0%","5"
"dr marjan popović, vd načelnik","1","1","100%","1"
"ginekološka ambulanta sumedica","1","0","0%","6"
"bolnica risan kontakt","1","0","0%","3"
"montenecrol medikamnet","1","0","0%","2"
"poliklinika konzilijum podgorica","1","0","0%","5"
"bolnica a3","1","0","0%","5"
"biljana jakovljevic radiolog","1","0","0%","2"
"actawell 25mg sastav","1","0","0%","7"
"monosticon","1","0","0%","5"
"dzihad pepic","1","1","100%","1"
"tea dakic klinicki centar","1","1","100%","1"
"ecugra srbija","1","0","0%","7"
"fizio centar niksic review film","1","0","0%","7"
"mirjana joksovic oskustva neurolog","1","1","100%","1"
"opsta bolnica bijelo polje ortoped na","1","0","0%","5"
"kontakt tel. ordinacija filipović radiologija","1","1","100%","1"
"klinika za pulmologiju","1","0","0%","4"
"citoredukcija sa hipecom","1","0","0%","6"
"vitamin ad podgorica","1","0","0%","2"
"laparoskopska biosija jetre","1","1","100%","7"
"dusanka novosel podgorica","1","0","0%","4"
"standard poliklinika","1","0","0%","4"
"orl budva","1","0","0%","2"
"my lab podgorica","1","0","0%","10"
"broj radne dozvole dr. vlado popovic","1","0","0%","2"
"nebojsa nikitovic iskustva","1","0","0%","4"
"ana popovićmdermatolog","1","1","100%","1"
"broj milmedika nk","1","0","0%","5"
"meljine rehabilitacija","1","0","0%","6"
"bakic mira","1","0","0%","1"
"diosminex max za šuljeve","1","0","0%","6"
"aleksandar magdelinić doktor","1","0","0%","5"
"dr jadranka lakicevic","1","1","100%","1"
"ordinacija filipovic","1","1","100%","4"
"faktu gel u crnoj gori","1","0","0%","2"
"radmila bulatović","1","0","0%","7"
"fotovoltiskā sistēma cēsis kontakti email uzņēmums","1","0","0%","5"
"milmedika nikšić radno vreme","1","0","0%","2"
"aleksandar stevanovic ginekolog","1","0","0%","8"
"irena ljutica","1","1","100%","2"
"podgorşica beyin cerrahi vuso","1","0","0%","2"
"dr čampar","1","1","100%","2"
"milena adzic","1","0","0%","8"
"nebojsa crnogorac","1","0","0%","10"
"ponuda za polikliniku novi standard","1","0","0%","2"
"glaumol kapi","1","0","0%","10"
"doktor ivanovski meljine","1","0","0%","1"
"eliquis 2 5 mg može li na recept","1","0","0%","3"
"ana popović dermatolog","1","0","0%","8"
"farin galenika","1","0","0%","5"
"dr matea baranik","1","0","0%","4"
"iud","1","0","0%","8"
"rapten gel/forte","1","1","100%","8"
"gastroenerologija klinicki centar crne gore","1","0","0%","7"
"poliklinika milmedika","1","0","0%","8"
"urolog rebronja","1","1","100%","1"
"a3 klinika bar","1","1","100%","2"
"alfa1 antitripsin laboratorijska analiza","1","0","0%","5"
"zarko malovic podgorica","1","0","0%","4"
"klinika konzilijum podgorica","1","0","0%","4"
"a3 medical kotor contact number","1","0","0%","9"
"a medic podgorica program","1","0","0%","3"
"pupovic url podgorica","1","0","0%","4"
"tamsulozin od farma s","1","1","100%","7"
"tesla berane","1","0","0%","5"
"dr. marjan popovic spec. kardiohirurgije","1","1","100%","1"
"pkardiolog popovoda","1","1","100%","1"
"klinika a medic cg iskustva","1","1","100%","4"
"mylab budva","1","0","0%","5"
"vukmirovic dermatolog","1","1","100%","1"
"nada cicmil sahrana","1","0","0%","8"
"milmedika nikšić","1","1","100%","5"
"oleg lakovic ortoped","1","1","100%","1"
"valer","1","0","0%","6"
"kimoks","1","0","0%","2"
"danijela stojanović internista","1","0","0%","6"
"doktor koji radi u milmediku niksic za djecu","1","0","0%","4"
"fizio centar endorfin nikšić adresa","1","0","0%","1"
"doktor erakovic neurolog","1","1","100%","1"
"doktor sasa radovic","1","0","0%","1"
"iskustva sa ars medica beograd","1","1","100%","5"
"pzu   polyclinic  milmedika  montenegro","1","0","0%","4"
"dr maida psiholog podgorica","1","1","100%","1"
"dr arsenije radunovic biografija","1","1","100%","2"
"farau dr. veselinovic","1","0","0%","2"
"borovinic ortoped","1","1","100%","1"
"doktor vojislav parezanovic","1","0","0%","4"
"aleksandra laković tatar","1","1","100%","1"
"ampula bedoxin","1","0","0%","8"
"ortoped borovinic narko","1","0","0%","2"
"dexamethason kraka prieks kam na srpskom","1","0","0%","6"
"memalis med","1","0","0%","6"
"juskovic ortoped","1","0","0%","3"
"ćdr marija radiologi","1","0","0%","1"
"biopsija dojke podgorica","1","0","0%","1"
"criteo 50mg cemu sluzi","1","0","0%","7"
"clinical centre of montenegro jelena radovic","1","0","0%","5"
"laparoskopska biosija jetre cena","1","1","100%","2"
"aspirin 500 montenegro","1","0","0%","6"
"vivace tablete ingredient","1","0","0%","9"
"a. djordjevic-dikic filetype:htm","1","0","0%","5"
"podgorica injekcije zglobova","1","1","100%","3"
"dr mica podgorica","1","0","0%","3"
"bella vista gradiska recenzije","1","1","100%","3"
"cijena operacije štitne žljezde u podgorici","1","1","100%","2"
"quick aligner cijena podgorica","1","1","100%","1"
"pepticaid 40 mg cijena","1","2","200%","1"
"maša đozić orl lekar","1","0","0%","8"
"operacija nosa podgorica","1","1","100%","2"
"miles malbaski","1","0","0%","5"
"olivera miketić","1","1","100%","1"
"ezofagogastroduodenoskopija sa dilatacijom ai","1","1","100%","5"
"a e hospital in podgorica","1","0","0%","7"
"marko stoijkov doktor","1","1","100%","2"
"dr emilija delevic","1","1","100%","2"
"dr branko lutovac","1","1","100%","6"
"marko batuta doktor","1","1","100%","1"
"dr darko radinovic","1","0","0%","9"
"jelena knezevic ginekolog","1","1","100%","1"
"apoloniarasovic","1","0","0%","5"
"zanka cerovic","1","1","100%","3"
"dr muhedin  dino kadic","1","1","100%","7"
"bolnica meljine web","1","1","100%","1"
"poliklinika zejnilovic bar website","1","0","0%","3"
"c1 inaktivator test","1","0","0%","2"
"komplijansa pluća.","1","0","0%","10"
"dr. kiterschkes montenegro","1","0","0%","7"
"triholog podgorica","1","1","100%","2"
"dermatolog  onkolog podgorica","1","1","100%","2"
"dr snezana vukadinovic","1","0","0%","4"
"filipović podgorica doktori","1","1","100%","1"
"darko nisavic ortoped","1","0","0%","2"
"marocen","1","1","100%","4"
"stanislava zubac višnjić biografija","1","1","100%","3"
"criteo 50mg","1","0","0%","4"
"is milmedika clinic in budva good for treating ear infections","1","0","0%","8"
"osteopatija crna gora","1","1","100%","4"
"doctor milica markovic","1","1","100%","5"
"poliklinika filupovic","1","0","0%","9"
"ivana kalezić vuković ginekolog","1","0","0%","6"
"dušan babić vaskularni","1","0","0%","2"
"in vitro laboratorija","1","0","0%","7"
"meljine bolnica","1","0","0%","3"
"ortoped dr miškulin","1","0","0%","5"
"milmedika dezurna","1","0","0%","5"
"podgorica ortopan","1","0","0%","3"
"maja đurović oftalmolog","1","1","100%","1"
"dr saša radović urolog","1","0","0%","1"
"miodrag radunovic","1","0","0%","4"
"gavra vukovića 1, 81000","1","0","0%","3"
"olivera miketic","1","0","0%","2"
"runaplax 15 mg cena","1","0","0%","7"
"md nesterova cardiolog","1","0","0%","1"
"zubar kovacevic herceg novi","1","1","100%","1"
"dr maida psihijatar podgorica dom zdravlja","1","1","100%","1"
"mr is segment kičme","1","0","0%","6"
"bolnica meljina herceg novi","1","0","0%","1"
"popovic aleksandar psihologija","1","1","100%","2"
"dr.med saša radešić","1","0","0%","5"
"sasa djeciji urolog","1","1","100%","3"
"doktorka emilija delević","1","1","100%","1"
"coldrex sumsko voce","1","0","0%","9"
"dr bogdanovic dragana","1","0","0%","2"
"montenegro physio therapeut nationalmannschafdt","1","0","0%","9"
"stanislava zubac višnjić","1","0","0%","2"
"dragoslav tomanovic","1","0","0%","8"
"dr aleksandar kujović","1","0","0%","5"
"nativni snimak","1","0","0%","7"
""msct kalcium" pécs","1","0","0%","9"
"hematolog dr miketic","1","2","200%","2"
"barovic oftamolog","1","1","100%","1"
"predrag jovovic","1","0","0%","5"
"plazma crna gora","1","0","0%","2"
"dnevna bolnica optimal adresa","1","0","0%","8"
"meljina bolnica","1","1","100%","1"
"pilfud sprej dosage","1","0","0%","8"
"ordinacija kerber","1","0","0%","5"
"zejnelovic bar","1","0","0%","5"
"a3 klinica","1","0","0%","7"
"dr milos obradovic","1","0","0%","1"
"dr čejović plasticna hirurgija","1","0","0%","3"
"lakovic cetinje","1","0","0%","3"
"snup d (1mg/ml+50mg/ml) sprej za nos za odrasle 10ml","1","0","0%","7"
"humna reprodukcija buva","1","1","100%","1"
"milmedika medical center porto","1","0","0%","9"
"buta stanko doktor","1","0","0%","8"
"olga ruskinja živi u podgorici","1","0","0%","8"
"kardiolog bar crna gora","1","0","0%","2"
"lenzetto  1.53mg/potisak translation","1","0","0%","8"
"vladimir janjic doktor","1","0","0%","6"
"jadran bandic dermatolog","1","0","0%","9"
"dr enes slavković","1","0","0%","2"
"kiretman","1","0","0%","4"
"dr tamara milenkaya","1","0","0%","1"
"branko lutovac nefrolog","1","0","0%","4"
"bolnica kotor odeljenja","1","0","0%","11"
"paunovic marinko","1","0","0%","1"
"rtg lijevog rucnog zgloba","1","0","0%","8"
"klinike za azospermiju i tablete prag","1","0","0%","3"
"milmedika ppdgorica","1","0","0%","3"
"dr vesna dzuverovic pljevlja","1","0","0%","2"
"nenad stepic plastic surgeon","1","1","100%","2"
"tregona d 5 mg","1","3","300%","6"
"miozitis panel prosireni","1","0","0%","7"
"ginekolog snežana grbović sekulić podgorica","1","0","0%","9"
"gino doktanol","1","0","0%","7"
"prof. dr nebojša tasić","1","0","0%","10"
"novi standard bar","1","1","100%","1"
"mensa medica tivat","1","0","0%","4"
"pzu milmedika - budva","1","0","0%","4"
"vranes bar","1","1","100%","1"
"milmedika tıvat","1","0","0%","3"
"pistula montenegro","1","0","0%","5"
"klinika filipovic snimanje dekse","1","0","0%","5"
"spa medica kortizol inekcija cijena","1","0","0%","3"
"dr milena dapcevic","1","1","100%","5"
"dr.aleksandar filipović/ štitna žlj.","1","1","100%","3"
"milmedika logovanje","1","0","0%","10"
"alerix 120 mg tablets","1","0","0%","6"
"formular uputnica za papa test crna gora","1","0","0%","2"
"aesthetic medical clinic tivat, montenegro","1","0","0%","6"
"nikola dr bakic","1","0","0%","2"
"dr abdic","1","0","0%","1"
"lunata 5mg","1","0","0%","10"
"smartmed podgorica cenovnik","1","1","100%","5"
"dr arsenije radunvic neurohirurg","1","1","100%","1"
"sukovic milija podgorica","1","0","0%","8"
"orl lekar dom zdravlja budva","1","1","100%","5"
"specijalna bolnica „vaso ćuković“ risan","1","0","0%","2"
"dr snezana crngor","1","0","0%","1"
"sasa radovic podgorica","1","1","100%","3"
"perunicic neurolog","1","0","0%","2"
"prof dr aleksandra arandjelovic","1","1","100%","2"
